title,score,comments
GameStop makes $55.5B takeover offer for eBay,187,122
ASML's Best Selling Product Isn't What You Think It Is,45,22
Trademark violation: Fake Notepad++ for Mac,234,98
Using “underdrawings” for accurate text and numbers,271,92
Texico: Learn the principles of programming without even touching a computer,75,4
BYOMesh – New LoRa mesh radio offers 100x the bandwidth,399,131
DeepClaude – Claude Code agent loop with DeepSeek V4 Pro,517,207
World's biggest RC A380 [video],27,3
Discovering hard disk physical geometry through microbenchmarking (2019),106,5
A treasure trove of fossils rewrites the story of early life,46,7
The Road to a Billion-Token Context,18,24
Southwest Headquarters Tour,268,81
Let's Buy Spirit Air,393,360
Why are neural networks and cryptographic ciphers so similar? (2025),9,0
The 'Hidden' Costs of Great Abstractions,184,83
US–Indian space mission maps extreme subsidence in Mexico City,162,63
"Fun with polynomials and linear algebra; or, slight abstract nonsense",25,0
A desktop made for one,368,201
OpenAI’s o1 correctly diagnosed 67% of ER patients vs. 50-55% by triage doctors,415,367
Bad Connection: Global telecom exploitation by covert surveillance actors,161,14
Introduction to Atom,103,37
Humanoid Robot Actuators,144,68
K3sup – bootstrap K3s over SSH in < 60s,63,29
"New statue in London, attributed to Banksy, of a suited man, blinded by a flag",433,407
Mercedes-Benz commits to bringing back physical buttons,742,419
Text-to-CAD,129,35
Tar Files Created on macOS Display Errors When Extracting on Linux (2024),116,82
Over 8M Thermos jars and bottles recalled after 3 people lost vision,68,55
I recreated the Apple Lisa computer inside an FPGA [video],107,27
Why TUIs are back,356,358
The text mode lie: why modern TUIs are a nightmare for accessibility,245,103
Show HN: Ableton Live MCP,87,56
Security through obscurity is not bad,169,188
What is Z-Angle Memory and why is Intel developing it?,118,38
Show HN: Apple's SHARP running in the browser via ONNX runtime web,172,43
I built my own hair electrolysis machine,236,61
"Roger Sweet, Creator of the He-Man Action Figure, Dies at 91",52,9
Group averages obscure how an individual's brain controls behavior: study,120,38
Denuvo has been cracked in all single-player games it previously protected,363,213
Make your own microforest (2025),98,18
United flight collides with truck and pole as it lands at Newark,24,9
Debunking the CIA's “magic” heartbeat sensor [video],44,44
Metal Gear Solid 2's source code has been leaked on 4chan,282,128
Alert-driven monitoring,117,43
Modern jet engine turbines: each blade a single crystal (2015),62,26
DeepSeek V4 – almost on the frontier,639,378
"Infrasound waves stop kitchen fires, but can they replace sprinklers?",53,32
How far behind is each major Chromium browser?,182,60
Windows quality update: Progress we've made since March,165,498
LLMs Are Not a Higher Level of Abstraction,128,123
